customer_id,age,annual_income,existing_debt,credit_score,requested_amount,loan_term_months,interest_rate,debt_to_income_ratio,loan_to_income_ratio,target_default,employment_status_self-employed,employment_status_unemployed,region_Leeds,region_Liverpool,region_London,region_Manchester,segment_prime,segment_subprime,channel_mobile_app,channel_web
2,41,51471.0,14853.02,721,5184.0,12,17.48,0.28857065143478855,0.10071690855044588,0,1,0,1,0,0,0,1,0,0,0
2,41,51471.0,14853.02,721,26666.0,12,9.65,0.28857065143478855,0.518078141089157,0,1,0,1,0,0,0,0,0,0,0
3,43,79125.0,39264.21,655,9190.0,24,10.52,0.49623014218009476,0.11614533965244865,0,1,0,0,0,0,1,0,0,1,0
3,43,79125.0,39264.21,655,7615.0,36,9.95,0.49623014218009476,0.09624012638230647,0,1,0,0,0,0,1,0,1,0,0
4,56,62560.0,13446.54,738,27313.0,36,12.68,0.21493829923273658,0.4365888746803069,0,1,0,0,0,1,0,0,0,0,1
4,56,62560.0,13446.54,738,15690.0,36,15.36,0.21493829923273658,0.2507992327365729,0,1,0,0,0,1,0,1,0,0,1
4,56,62560.0,13446.54,738,8779.0,24,15.5,0.21493829923273658,0.14032928388746804,0,1,0,0,0,1,0,0,0,0,0
5,65,133626.0,14871.32,589,2705.0,12,8.53,0.11129061709547543,0.020243066469100325,0,0,0,1,0,0,0,0,0,0,0
5,65,133626.0,14871.32,589,29654.0,24,9.18,0.11129061709547543,0.22191789023094308,0,0,0,1,0,0,0,0,0,0,0
5,65,133626.0,14871.32,589,7398.0,12,8.74,0.11129061709547543,0.05536347716761708,0,0,0,1,0,0,0,0,1,0,1
6,44,105976.0,40621.64,677,24989.0,36,17.82,0.3833098059938099,0.2357986713972975,0,1,0,0,0,1,0,0,1,0,0
6,44,105976.0,40621.64,677,18583.0,36,16.58,0.3833098059938099,0.17535102287310333,0,1,0,0,0,1,0,1,0,0,1
7,65,136856.0,24300.45,768,25551.0,36,14.81,0.17756218214765887,0.18669988893435435,0,0,1,0,0,0,0,0,1,0,1
8,34,53784.0,24196.31,675,11803.0,12,8.88,0.4498793321433884,0.219451881600476,0,1,0,1,0,0,0,1,0,1,0
9,32,81450.0,11654.84,750,17048.0,36,15.2,0.14309195825659915,0.2093063228974831,0,1,0,0,0,0,0,0,1,1,0
9,32,81450.0,11654.84,750,19479.0,24,11.46,0.14309195825659915,0.23915285451197055,0,1,0,0,0,0,0,0,0,1,0
10,61,128175.0,4660.33,764,11020.0,36,8.31,0.03635911839282231,0.08597620440803588,0,1,0,0,1,0,0,1,0,0,1
10,61,128175.0,4660.33,764,12274.0,12,11.22,0.03635911839282231,0.09575970353032963,0,1,0,0,1,0,0,0,1,1,0
10,61,128175.0,4660.33,764,13638.0,36,9.88,0.03635911839282231,0.10640140433001756,0,1,0,0,1,0,0,1,0,1,0
11,43,130914.0,28895.94,739,25296.0,24,10.77,0.22072459782758144,0.19322608735505753,0,1,0,0,0,0,1,0,1,0,0
11,43,130914.0,28895.94,739,20785.0,12,17.83,0.22072459782758144,0.15876835174236523,0,1,0,0,0,0,1,0,1,1,0
11,43,130914.0,28895.94,739,20647.0,36,11.52,0.22072459782758144,0.1577142246054662,0,1,0,0,0,0,1,1,0,0,1
12,56,100527.0,15746.27,820,3741.0,36,13.7,0.15663722184089848,0.03721388283744666,0,0,0,1,0,0,0,0,1,0,1
12,56,100527.0,15746.27,820,24873.0,12,14.4,0.15663722184089848,0.24742606463935063,0,0,0,1,0,0,0,0,0,0,1
12,56,100527.0,15746.27,820,18341.0,12,5.52,0.15663722184089848,0.18244849642384633,0,0,0,1,0,0,0,0,0,0,1
13,28,28391.0,3354.51,732,8594.0,36,14.93,0.11815399246240006,0.3027015603536332,0,1,0,0,0,0,1,0,0,0,1
14,27,104179.0,38444.89,807,18907.0,24,11.59,0.3690272511734611,0.18148571209168834,0,1,0,0,0,0,1,0,0,0,1
14,27,104179.0,38444.89,807,27414.0,36,10.39,0.3690272511734611,0.2631432438399294,0,1,0,0,0,0,1,0,1,0,1
